frame_number, fish_1, fish_2,fish_3,fish_4,fish_5,fish_6,fish_7,fish_8,fish_9,fish_10,fish_11,fish_12,fish_13,fish_14,fish_15
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,23,13,-10,0,10,10,0,0,0,0,0,0,0,0
21,0,23,0,0,0,0,12,0,0,0,0,0,0,0,0
24,0,21,0,0,0,24,17,0,0,0,0,0,0,0,0
27,0,22,0,0,0,40,19,0,0,0,0,0,0,0,0
30,0,14,0,22,0,19,24,0,0,0,0,0,0,13,0
33,0,24,0,-9,0,36,21,0,0,0,0,0,0,15,0
36,0,27,0,0,0,7,12,0,0,0,0,40,0,24,0
39,0,21,0,-23,0,0,15,0,0,-6,0,22,0,19,0
42,0,15,0,-19,0,14,-40,0,0,0,0,9,0,18,0
45,0,10,0,0,0,27,0,0,0,0,0,0,0,14,0
48,0,0,0,-23,0,25,15,0,0,7,0,0,0,13,0
51,0,0,0,-22,0,20,17,0,0,0,0,0,0,14,0
54,0,9,0,-12,0,23,0,0,0,0,0,40,0,19,0
57,0,17,0,-9,0,22,7,0,0,0,0,30,0,13,0
60,0,23,0,-40,0,0,0,0,0,0,0,10,0,14,0
63,0,31,0,-25,0,39,0,0,0,0,0,13,0,16,0
66,0,16,0,-9,0,15,0,0,0,0,0,20,0,13,0
69,0,10,0,0,0,40,40,0,0,0,0,16,0,9,0
72,0,11,0,0,0,40,40,0,0,0,0,10,0,15,0
75,0,16,0,0,0,28,40,0,0,0,0,16,0,28,0
78,0,26,0,-27,0,12,40,0,0,0,0,40,0,14,0
81,0,0,0,-16,0,7,40,0,0,0,0,31,0,14,0
84,-8,25,0,-16,0,-40,-17,0,0,0,0,19,0,13,0
87,0,0,40,-24,0,-40,40,0,0,0,0,0,0,11,0
90,0,40,0,-15,0,-40,-10,0,0,0,0,14,0,22,0
93,0,20,0,-15,0,-40,18,0,0,0,0,0,0,21,0
96,0,22,12,-17,0,-40,0,0,0,17,0,0,0,0,0
99,0,17,0,-6,0,-40,0,0,0,-8,0,0,0,0,0
102,0,20,0,0,0,-40,-40,0,0,0,0,0,0,0,0
105,0,18,0,0,8,0,12,0,0,0,0,0,0,0,0
108,0,21,0,0,18,0,27,0,0,0,0,0,0,0,0
111,0,13,0,0,0,40,7,0,0,0,0,0,0,21,0
114,0,37,0,0,0,26,22,0,0,0,0,0,0,24,0
117,0,14,0,0,0,24,25,0,0,0,0,0,0,20,0
120,0,17,0,0,0,22,35,0,0,0,0,0,0,29,0
123,0,21,0,-14,0,23,-10,0,0,0,0,0,0,16,0
126,0,20,0,-28,0,0,40,0,0,0,0,40,0,13,0
129,-40,17,0,-10,40,0,16,0,0,0,0,39,0,17,0
132,-26,24,0,0,0,0,31,0,0,0,0,16,0,21,0
135,-13,27,0,0,0,0,7,-9,0,0,0,6,0,17,0
138,0,17,-7,-6,0,40,9,-6,0,0,0,15,-15,21,0
141,0,8,0,-14,0,40,18,-9,0,0,0,21,0,26,0
144,-13,17,0,-9,0,35,40,0,0,0,0,35,0,21,0
147,0,20,0,-9,0,23,24,0,0,0,0,40,0,28,-40
150,0,22,0,0,0,31,40,0,0,0,0,36,0,18,0
153,0,25,0,0,0,17,21,0,0,-6,-40,0,0,16,0
156,0,26,0,-16,0,7,8,-40,0,29,0,0,0,16,0
159,-40,17,0,-18,0,20,14,-11,0,0,0,0,-40,14,0
162,-20,15,0,-8,0,21,19,-10,0,32,0,8,0,13,0
165,-9,20,0,0,0,21,40,-9,0,-7,0,29,0,10,0
168,0,18,0,-20,0,16,13,0,0,-9,0,19,0,10,0
171,0,16,0,-17,0,13,17,0,0,0,0,8,0,11,0
174,0,11,0,-10,0,11,19,0,0,0,-6,0,0,16,0
177,0,0,0,0,0,6,14,0,0,0,0,0,-26,11,0
180,0,0,-40,0,0,0,9,0,0,0,0,7,-8,10,0
183,0,0,0,-12,0,8,0,0,0,0,0,12,0,6,0
186,0,0,-10,-30,0,13,0,0,0,0,0,17,-40,0,0
189,-6,0,-16,-11,0,19,0,0,0,-6,0,15,6,0,0
192,-15,0,-10,0,0,6,0,0,0,-20,0,6,0,0,0
195,-6,0,0,0,0,0,0,-14,0,0,0,15,40,0,0
198,0,0,0,0,0,0,0,-7,0,0,-16,0,0,0,0
201,0,0,0,-9,0,0,0,-7,0,0,-13,0,0,0,0
204,0,0,0,-7,0,6,0,-7,0,0,0,0,0,0,0
207,0,0,0,0,0,6,0,-13,0,16,0,0,0,0,0
210,0,0,0,0,0,0,0,-22,0,16,0,15,0,0,0
213,0,0,0,-7,0,0,0,-15,0,0,0,40,0,-11,0
216,0,0,0,-39,0,0,0,-10,0,0,0,37,0,0,0
219,-20,0,0,-36,0,0,0,-7,0,0,0,27,0,0,0
222,-11,0,0,-13,0,6,0,-16,0,-13,0,21,0,0,0
225,0,0,0,-6,0,9,-10,-18,0,-9,0,0,-8,0,0
228,-7,0,0,0,0,0,0,-22,0,0,0,0,-9,0,0
231,0,0,0,-23,0,0,0,-19,0,0,0,0,-7,0,0
234,-10,0,0,-40,0,0,0,-29,0,0,0,0,-7,0,0
237,-13,0,0,-22,0,0,0,-19,0,0,0,0,-7,0,0
240,0,0,0,-14,0,0,8,-9,0,0,0,34,-7,0,0
243,0,0,0,-12,0,0,0,-8,0,0,0,24,-13,0,0
246,0,-33,0,-23,40,0,0,-7,0,0,0,20,-10,0,0
249,0,0,0,-17,0,0,0,0,0,0,0,23,-7,0,0
252,-17,0,0,-12,0,0,0,0,0,0,0,36,-7,0,0
255,-9,-26,0,-40,0,7,-6,-34,0,0,0,10,-6,0,0
258,-7,-14,0,-21,0,0,0,-11,0,-11,0,0,0,0,0
261,0,0,0,-7,6,0,0,0,0,0,0,0,0,0,0
264,0,0,0,0,-10,0,0,0,0,0,0,10,0,0,0
267,0,0,0,-14,0,0,0,-39,0,0,0,29,0,0,0
270,0,0,0,-17,0,0,0,-19,0,0,0,17,0,0,0
273,0,-12,0,7,0,0,11,-7,0,0,0,12,-8,0,0
276,0,-12,0,-24,-40,0,0,0,0,0,0,6,-8,0,0
279,0,-16,-32,0,-31,0,-20,0,0,0,0,0,0,-32,0
282,0,-29,-13,0,-13,0,-16,-7,0,0,-23,0,0,0,0
285,0,-18,-15,-40,-9,0,0,-18,0,0,0,0,0,0,0
288,-18,-8,-15,-40,-18,0,0,-35,0,0,0,0,-7,-17,0
291,-11,-23,-11,-18,-37,0,0,-33,0,0,34,0,0,-23,0
294,-6,-40,-14,9,-22,0,0,-26,0,0,13,0,20,-16,0
297,-11,-17,-29,-39,-15,0,-33,-25,0,0,0,0,0,-21,0
300,0,-10,-19,-31,-13,0,-10,-17,0,0,0,0,0,-25,0
303,-40,-24,-16,-19,-20,0,-6,-30,0,0,0,0,0,-22,0
306,-19,-27,-20,-20,-22,0,0,-40,0,0,-12,0,0,-18,0
309,-9,-18,-19,-36,-20,0,-6,-39,0,0,0,0,6,-17,0
312,-13,-18,-12,-17,-18,0,-38,-29,0,0,0,0,0,-13,0
315,-13,-23,-17,-16,-19,0,-16,-24,0,0,0,0,0,-17,0
318,-11,-27,-35,-40,-21,0,0,-25,0,0,0,0,0,-17,0
321,-21,-17,-25,-40,-17,0,0,-26,0,0,6,0,0,-17,0
324,-15,-33,-14,-28,-18,0,0,-22,0,0,0,0,0,-29,0
327,-20,-11,-9,-24,-21,0,22,-33,0,0,-6,-24,-40,-19,0
330,-19,-9,-22,-33,-35,0,0,-40,0,0,0,0,-24,-17,0
333,-20,-32,-31,-11,-23,0,0,-40,0,13,-23,0,-19,-21,0
336,-24,-40,-22,-40,-9,0,0,-31,-29,0,0,0,-15,-17,0
339,-15,0,-15,-40,-6,0,-8,-24,7,0,-40,0,-9,-17,0
342,-21,-40,-13,-40,-14,0,0,-25,0,23,-32,-30,-23,-20,0
345,-13,-24,-16,-40,-29,0,0,-40,0,24,-10,-17,0,-21,0
348,-10,-20,-27,-15,-15,0,0,-30,0,16,0,-8,-40,-22,0
351,-9,-23,-18,-40,-33,0,0,-33,0,6,0,-9,-24,-22,0
354,0,-28,-13,-38,-40,0,0,-40,0,0,0,-17,-8,-14,0
357,19,-18,-19,-40,-35,0,0,-40,0,0,-10,0,-16,-12,0
360,8,-21,-26,28,-25,0,10,-40,0,0,-33,-40,0,-21,0
363,0,-40,-21,-40,-20,0,12,-23,0,0,-15,-11,-40,-21,0
366,0,0,-16,-21,-13,0,0,-16,0,0,0,-10,-35,-20,0
369,0,-40,-12,-18,-11,0,0,-40,40,0,0,-14,0,-18,0
372,14,-35,-14,-40,-13,0,0,-40,25,0,-40,-13,0,-32,0
375,0,-6,-25,-40,-25,0,0,-24,10,0,-16,-14,0,-19,0
378,0,-40,-23,-34,-30,0,0,-16,0,0,-14,-37,-40,-9,0
381,0,-29,8,-40,-26,0,0,-26,0,0,-23,-40,-40,-9,0
384,0,-40,-35,-39,-18,0,0,-40,36,0,-23,-24,-32,-15,0
387,0,-32,-15,-18,0,0,0,-33,14,0,-14,-21,-10,-20,0
390,0,-34,-26,0,-12,0,0,-23,0,0,-10,-20,-6,-31,0
393,8,-31,-22,0,-12,0,0,-20,0,0,-14,-38,0,-27,0
396,0,-21,-17,-9,-40,0,0,-28,0,0,-18,-40,0,-25,0
399,0,-27,-13,0,-26,0,0,-13,0,0,-17,-30,9,-24,0
402,0,13,-16,9,-30,0,0,-40,0,0,-16,-22,16,-23,0
405,8,-40,-32,0,-21,0,0,0,0,0,-8,-23,0,-28,0
408,40,-40,-34,0,-22,0,0,-23,0,0,-20,-17,0,-21,0
411,21,-30,-22,0,0,-40,0,-40,0,0,-8,-19,0,-16,0
414,9,-22,-12,0,-20,0,0,-36,0,0,-30,-19,0,-16,0
417,0,-35,-9,0,-39,0,0,-40,0,0,-9,-29,0,-21,0
420,15,-40,-15,-19,-13,-9,0,-39,30,0,0,-36,0,-24,0
423,26,-36,-18,0,-8,-13,0,-40,28,0,0,-40,0,-25,0
426,9,-19,-19,0,0,-27,0,-40,8,0,-40,-27,0,-20,0
429,0,-9,-13,0,0,-7,0,-40,0,0,-27,-16,0,-16,0
432,0,0,-19,19,-19,0,0,-25,0,0,-20,-15,6,-15,0
435,40,-19,-22,0,-36,0,0,-29,0,0,-26,-15,0,-23,0
438,9,-20,-12,-6,-23,0,0,-40,0,0,-8,-23,0,-23,0
441,0,-23,0,0,-12,-27,0,-38,0,0,-27,-31,0,-21,0
444,40,-36,-16,0,-15,-11,0,-26,0,40,-27,-34,0,-16,0
447,0,-29,-40,10,-12,0,0,-23,-40,0,-7,-34,0,-13,0
450,0,-24,-31,21,-40,0,0,-35,-11,0,0,-32,-36,-23,0
453,0,-22,-24,0,-40,0,0,-40,-14,0,0,-14,0,-23,0
456,0,-36,-24,0,-20,0,0,-29,-23,0,0,-9,0,-20,0
459,12,-30,0,0,0,0,0,-22,0,0,12,-15,-20,-20,0
462,18,-21,-40,-10,-20,15,0,-13,0,0,7,-14,0,-16,0
465,8,-15,0,-9,-10,7,0,-7,0,0,6,-17,-15,-17,0
468,14,-22,-36,-15,-30,0,0,-16,0,0,0,-20,-24,-15,0
471,15,-12,0,0,0,0,0,-40,0,-40,0,-18,-13,-10,0
474,0,-6,-30,0,-19,0,0,-9,0,16,0,-13,-10,-6,0
477,40,0,17,0,-31,0,0,0,0,11,23,-7,-14,0,0
480,37,0,0,0,-9,7,0,-7,40,0,12,0,-40,0,0
483,27,0,0,0,0,0,0,0,0,0,9,0,-7,0,0
486,12,0,0,22,0,0,0,0,0,0,9,0,0,0,0
489,0,0,0,0,-25,0,-40,0,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,40,0,0,-10,0,0,0,0,0,0,0,0,0,0,0
498,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0
501,8,0,0,0,0,0,0,0,34,0,17,0,18,0,0
504,0,0,0,37,0,0,0,0,19,0,0,0,17,0,0
507,0,-9,0,0,0,0,0,0,20,0,13,0,9,0,0
510,6,-14,0,-17,0,0,0,0,40,0,13,0,0,0,0
513,0,-6,0,0,0,0,0,0,28,0,0,0,0,0,0
516,0,0,0,-8,0,0,0,0,8,40,0,0,0,-7,0
519,0,0,0,0,0,0,0,0,6,0,0,0,14,8,0
522,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
525,0,0,0,0,0,-11,0,0,0,0,0,0,0,0,0
528,24,0,0,0,0,0,0,0,-23,0,0,0,0,0,0
531,20,0,0,0,0,0,10,0,0,0,30,0,0,0,0
534,0,0,0,0,0,0,15,0,32,0,18,0,0,0,0
537,0,0,0,-12,0,0,0,0,40,0,0,0,8,0,0
540,0,26,0,0,0,-40,0,0,9,40,0,0,8,0,0
543,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0
546,0,23,0,0,6,0,0,0,0,15,10,0,0,0,0
549,0,31,0,0,0,0,0,0,0,0,7,0,0,0,0
552,0,17,0,0,0,0,0,0,-40,0,6,0,0,0,0
555,0,0,0,0,0,-8,0,0,-12,-40,6,0,0,0,0
558,0,6,0,0,0,0,0,0,0,0,0,0,-31,0,0
561,0,16,0,40,0,0,0,0,-16,0,0,0,0,0,0
564,0,21,0,0,0,0,0,0,-38,0,0,0,-10,0,0
567,-11,7,0,0,0,0,0,0,0,0,0,0,0,0,0
570,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
573,0,15,0,0,0,0,0,0,-7,0,18,0,0,0,0
576,0,17,0,21,0,0,0,0,-40,0,40,0,0,0,0
579,0,25,0,13,0,0,0,0,-40,0,24,-14,-13,0,0
582,0,11,0,0,0,0,0,0,-29,0,20,-9,-10,0,0
585,-6,17,0,-23,0,0,6,0,-40,0,15,-10,0,0,0
588,0,21,0,-23,0,0,9,0,-19,0,30,-8,0,0,0
591,-6,20,0,0,0,0,0,0,-14,0,26,0,0,0,0
594,0,30,0,0,0,0,0,0,-40,0,11,0,0,0,0
597,0,17,0,0,0,0,0,0,-40,0,11,-9,26,0,0
